team,name,role
CSK,Ruturaj Gaikwad,BAT
CSK,Dewald Brevis,BAT
CSK,MS Dhoni,WK
CSK,Kartik Sharma,WK
CSK,Sarfaraz Khan,BAT
CSK,Ayush Mhatre,BAT
CSK,Urvil Patel,WK
CSK,Sanju Samson,WK
CSK,Aman Khan,AR
CSK,Shivam Dube,AR
CSK,Zak Foulkes,AR
CSK,Ramakrishna Ghosh,AR
CSK,Anshul Kamboj,AR
CSK,Jamie Overton,AR
CSK,Matthew Short,AR
CSK,Prashant Veer,AR
CSK,Khaleel Ahmed,BOWL
CSK,Rahul Chahar,BOWL
CSK,Shreyas Gopal,BOWL
CSK,Gurjapneet Singh,BOWL
CSK,Matt Henry,BOWL
CSK,Akeal Hosein,BOWL
CSK,Mukesh Choudhary,BOWL
CSK,Noor Ahmad,BOWL
CSK,Nathan Ellis,BOWL

DC,Abishek Porel,WK
DC,Ben Duckett,WK
DC,David Miller,BAT
DC,Karun Nair,BAT
DC,Pathum Nissanka,BAT
DC,Sahil Parakh,BAT
DC,KL Rahul,WK
DC,Nitish Rana,BAT
DC,Prithvi Shaw,BAT
DC,Tristan Stubbs,WK
DC,Axar Patel,AR
DC,Ajay Mandal,AR
DC,Sameer Rizvi,AR
DC,Ashutosh Sharma,AR
DC,Madhav Tiwari,AR
DC,Auqib Nabi,BOWL
DC,Dushmantha Chameera,BOWL
DC,Kyle Jamieson,BOWL
DC,Kuldeep Yadav,BOWL
DC,Mukesh Kumar,BOWL
DC,T Natarajan,BOWL
DC,Lungi Ngidi,BOWL
DC,Vipraj Nigam,BOWL
DC,Mitchell Starc,BOWL
DC,Tripurana Vijay,BOWL

GT,Shubman Gill,BAT
GT,Anuj Rawat,WK
GT,Tom Banton,WK
GT,Jos Buttler,WK
GT,Kumar Kushagra,WK
GT,Sai Sudharsan,BAT
GT,M Shahrukh Khan,BAT
GT,Jason Holder,AR
GT,Glenn Phillips,AR
GT,Rashid Khan,AR
GT,Nishant Sindhu,AR
GT,Manav Suthar,AR
GT,Rahul Tewatia,AR
GT,Washington Sundar,AR
GT,Arshad Khan,BOWL
GT,Ashok Sharma,BOWL
GT,Gurnoor Brar,BOWL
GT,Mohammed Siraj,BOWL
GT,Prasidh Krishna,BOWL
GT,Prithvi Raj,BOWL
GT,Kagiso Rabada,BOWL
GT,Sai Kishore,BOWL
GT,Ishant Sharma,BOWL
GT,Luke Wood,BOWL
GT,Jayant Yadav,BOWL

KKR,Ajinkya Rahane,BAT
KKR,Finn Allen,BAT
KKR,Tejasvi Dahiya,WK
KKR,Manish Pandey,BAT
KKR,Rovman Powell,BAT
KKR,Angkrish Raghuvanshi,BAT
KKR,Ramandeep Singh,BAT
KKR,Sarthak Ranjan,BAT
KKR,Tim Seifert,WK
KKR,Rinku Singh,BAT
KKR,Rahul Tripathi,BAT
KKR,Daksh Kamra,AR
KKR,Cameron Green,AR
KKR,Sunil Narine,AR
KKR,Rachin Ravindra,AR
KKR,Anukul Roy,AR
KKR,Akash Deep,BOWL
KKR,Vaibhav Arora,BOWL
KKR,Harshit Rana,BOWL
KKR,Kartik Tyagi,BOWL
KKR,Blessing Muzarabani,BOWL
KKR,Matheesha Pathirana,BOWL
KKR,Prashant Solanki,BOWL
KKR,Umran Malik,BOWL
KKR,Varun Chakravarthy,BOWL
KKR,Mustafizur Rahman,BOWL

LSG,Rishabh Pant,WK
LSG,Abdul Samad,BAT
LSG,Akshat Raghuwanshi,BAT
LSG,Ayush Badoni,BAT
